,name,customer_id,rating
52,Inverse didactic moderator,187,5
53,Diverse responsive architecture,210,5
54,Assimilated leadingedge orchestration,89,5
55,Synchronized full-range strategy,197,5
56,Exclusive client-server challenge,85,5
57,Inverse didactic moderator,176,5
58,Inverse didactic moderator,197,5
59,Profound motivating support,193,5
60,Operative asymmetric benchmark,144,5
61,Assimilated leadingedge orchestration,214,5
62,Exclusive client-server challenge,229,5
63,Exclusive client-server challenge,196,5
64,Diverse responsive architecture,190,5
65,Profound next generation open architecture,163,5
66,Profound next generation open architecture,159,5
67,Profound motivating support,168,5
68,Face-to-face real-time array,184,5
69,Diverse responsive architecture,109,5
70,Implemented multi-tasking conglomeration,64,5
71,Fundamental incremental structure,107,5
72,Sharable fault-tolerant solution,224,5
73,Implemented multi-tasking conglomeration,232,5
74,Implemented multi-tasking conglomeration,64,5
75,Implemented multi-tasking conglomeration,76,5
76,Sharable fault-tolerant solution,188,5
77,Profound next generation open architecture,167,5
78,Inverse didactic moderator,133,5
79,Implemented multi-tasking conglomeration,242,5
80,Profound next generation open architecture,53,5
81,Sharable fault-tolerant solution,182,5
82,Inverse didactic moderator,181,5
83,Inverse didactic moderator,219,5
84,Profound next generation open architecture,61,5
85,Operative asymmetric benchmark,133,5
86,Operative asymmetric benchmark,185,5
87,Sharable fault-tolerant solution,89,5
88,Synchronized full-range strategy,222,5
89,Synchronized full-range strategy,226,5
90,Operative asymmetric benchmark,196,5
91,Fundamental incremental structure,235,5
92,Sharable fault-tolerant solution,147,5
93,Sharable fault-tolerant solution,71,5
94,Versatile tangible artificial intelligence,130,5
95,Mandatory multimedia encoding,69,5
96,Synergized transitional array,74,5
97,Upgradable bandwidth-monitored instruction set,181,5
98,Upgradable bandwidth-monitored instruction set,143,5
99,Total motivating methodology,65,5
100,Total motivating methodology,155,5
101,Operative multi-state encoding,141,5
102,Upgradable bandwidth-monitored instruction set,75,5
103,Total background secured line,209,5
104,Upgradable bandwidth-monitored instruction set,211,5
105,Upgradable bandwidth-monitored instruction set,96,5
106,Total background secured line,203,5
107,Upgradable bandwidth-monitored instruction set,82,5
108,Integrated stable installation,249,5
109,Total motivating methodology,212,5
110,Polarized impactful installation,229,5
111,Robust demand-driven core,195,5
112,Integrated stable installation,204,5
113,Reduced homogeneous frame,166,5
114,Integrated stable installation,123,5
115,Reduced homogeneous frame,149,5
116,Customer-focused disintermediate hierarchy,192,5
117,Customer-focused disintermediate hierarchy,163,5
118,Polarized impactful installation,181,5
119,Integrated stable installation,62,5
120,Customer-focused disintermediate hierarchy,195,5
121,Operative multi-state encoding,221,5
122,Right-sized multi-tasking hardware,188,5
123,Robust demand-driven core,168,5
124,Profound context-sensitive conglomeration,174,5
125,Balanced hybrid process improvement,137,5
126,Synergized transitional array,116,5
127,Innovative multimedia knowledgebase,240,5
128,Balanced hybrid process improvement,147,5
129,Innovative multimedia knowledgebase,108,5
130,Total motivating methodology,204,5
131,Profound context-sensitive conglomeration,212,5
132,Upgradable bandwidth-monitored instruction set,69,5
133,Operative multi-state encoding,106,5
134,Right-sized multi-tasking hardware,242,5
135,Total motivating methodology,188,5
136,Integrated stable installation,125,5
137,Operative multi-state encoding,203,5
138,Integrated stable installation,119,5
139,Upgradable bandwidth-monitored instruction set,142,5
140,Innovative multimedia knowledgebase,73,5
141,Upgradable bandwidth-monitored instruction set,219,5
142,Robust demand-driven core,80,5
143,Reduced homogeneous frame,248,5
144,Open-source regional approach,184,5
145,Versatile tangible artificial intelligence,142,5
146,Mandatory multimedia encoding,225,5
147,Programmable regional installation,87,5
148,Reverse-engineered bifurcated implementation,78,5
149,Versatile tangible artificial intelligence,95,5
150,Integrated stable installation,178,5
151,Reverse-engineered bifurcated implementation,65,5
152,Up-sized multi-tasking productivity,132,5
153,Versatile tangible artificial intelligence,242,5
154,Integrated stable installation,243,5
155,Reverse-engineered bifurcated implementation,141,5
156,Mandatory multimedia encoding,96,5
157,Face-to-face uniform service-desk,195,5
158,Reverse-engineered bifurcated implementation,89,5
159,Up-sized multi-tasking productivity,91,5
160,Versatile tangible artificial intelligence,195,5
161,Versatile tangible artificial intelligence,113,5
162,Open-source regional approach,116,5
163,Distributed multi-state product,78,5
164,Versatile tangible artificial intelligence,150,5
165,Mandatory multimedia encoding,240,5
166,Reverse-engineered bifurcated implementation,69,5
167,Self-enabling global framework,213,5
168,Right-sized multi-tasking hardware,57,5
169,Customer-focused disintermediate hierarchy,164,5
170,Customer-focused disintermediate hierarchy,53,5
171,Innovative multimedia knowledgebase,206,5
172,Programmable regional installation,126,5
173,Customer-focused disintermediate hierarchy,100,5
174,Reduced homogeneous frame,69,5
175,Total background secured line,185,5
176,Total background secured line,108,5
177,Customer-focused disintermediate hierarchy,217,5
178,Programmable regional installation,131,5
179,Integrated stable installation,188,5
180,Programmable regional installation,66,5
181,Self-enabling global framework,127,5
182,Self-enabling global framework,180,5
183,Integrated stable installation,63,5
184,Business-focused heuristic methodology,147,5
185,Total background secured line,167,5
186,Business-focused heuristic methodology,59,5
187,Reduced homogeneous frame,121,5
188,Programmable regional installation,222,5
189,Self-enabling global framework,112,5
190,Face-to-face real-time array,167,5
191,Exclusive client-server challenge,209,5
192,Inverse didactic moderator,242,5
193,Extended analyzing installation,59,5
194,Streamlined local migration,172,5
195,Extended analyzing installation,148,5
196,Streamlined local migration,173,5
197,Reverse-engineered methodical throughput,164,5
198,Pre-emptive systematic circuit,184,5
199,Reverse-engineered methodical throughput,83,5
200,Team-oriented discrete hierarchy,214,5
201,Re-contextualized radical extranet,246,5
202,Streamlined local migration,71,5
203,Streamlined local migration,118,5
204,Advanced stable array,108,5
205,Team-oriented discrete hierarchy,218,5
206,Advanced stable array,249,5
207,Re-contextualized radical extranet,198,5
208,Extended analyzing installation,237,5
209,Re-contextualized radical extranet,228,5
210,Re-contextualized radical extranet,193,5
211,Innovative web-enabled Local Area Network,237,5
212,Enhanced bandwidth-monitored paradigm,129,5
213,Re-contextualized radical extranet,160,5
214,Team-oriented discrete hierarchy,137,5
215,Team-oriented discrete hierarchy,134,5
216,Advanced stable array,77,5
217,Upgradable intangible project,249,5
218,Team-oriented discrete hierarchy,78,5
219,Advanced stable array,220,5
220,Advanced stable array,106,5
221,Object-based interactive model,149,5
222,Mandatory value-added frame,69,5
223,Mandatory value-added frame,79,5
224,Mandatory value-added frame,217,5
225,Future-proofed eco-centric protocol,115,5
226,Extended analyzing installation,232,5
227,Extended analyzing installation,241,5
228,Advanced stable array,151,5
229,Compatible analyzing product,117,5
230,Advanced stable array,63,5
231,Re-contextualized radical extranet,167,5
232,Extended analyzing installation,107,5
233,Reverse-engineered methodical throughput,196,5
234,Future-proofed eco-centric protocol,83,5
235,Streamlined local migration,87,5
236,Extended analyzing installation,72,5
237,Streamlined local migration,210,5
238,Enhanced bandwidth-monitored paradigm,211,5
239,Configurable 3rdgeneration analyzer,190,5
240,Enhanced upward-trending task-force,195,5
241,Total modular secured line,61,5
242,Configurable 3rdgeneration analyzer,141,5
243,Open-architected mission-critical parallelism,201,5
244,Total modular secured line,143,5
245,Total modular secured line,164,5
246,Profit-focused bandwidth-monitored toolset,81,5
247,Pre-emptive systematic circuit,242,5
248,Configurable 3rdgeneration analyzer,144,5
249,Total modular secured line,199,5
250,Total modular secured line,193,5
251,Pre-emptive systematic circuit,132,5
252,Total modular secured line,148,5
253,Visionary multi-tasking project,228,5
254,Profit-focused bandwidth-monitored toolset,97,5
255,Visionary multi-tasking project,142,5
256,Open-architected mission-critical parallelism,104,5
257,Visionary multi-tasking project,99,5
258,Visionary multi-tasking project,132,5
259,Open-architected mission-critical parallelism,216,5
260,Innovative web-enabled Local Area Network,70,5
261,Total modular secured line,63,5
262,Innovative web-enabled Local Area Network,90,5
263,Configurable 3rdgeneration analyzer,191,5
264,Innovative web-enabled Local Area Network,157,5
265,Compatible analyzing product,118,5
266,Pre-emptive systematic circuit,187,5
267,Enhanced bandwidth-monitored paradigm,103,5
268,Enhanced bandwidth-monitored paradigm,179,5
269,Enhanced bandwidth-monitored paradigm,79,5
270,Enhanced bandwidth-monitored paradigm,183,5
271,Enhanced bandwidth-monitored paradigm,163,5
272,Advanced stable array,151,5
273,Profit-focused bandwidth-monitored toolset,172,5
274,Configurable 3rdgeneration analyzer,95,5
275,Enhanced bandwidth-monitored paradigm,180,5
276,Open-architected mission-critical parallelism,187,5
277,Configurable 3rdgeneration analyzer,214,5
278,Enhanced bandwidth-monitored paradigm,185,5
279,Compatible analyzing product,145,5
280,Open-architected mission-critical parallelism,214,5
281,Profit-focused bandwidth-monitored toolset,191,5
282,Configurable 3rdgeneration analyzer,224,5
283,Total modular secured line,145,5
284,Configurable 3rdgeneration analyzer,170,5
285,Configurable 3rdgeneration analyzer,242,5
286,Diverse clear-thinking leverage,166,5
287,Mandatory value-added frame,81,5
288,Diverse clear-thinking leverage,179,5
289,Multi-lateral cohesive portal,101,5
290,Centralized 24hour extranet,197,5
291,Synchronized full-range strategy,200,5
292,Object-based web-enabled customer loyalty,116,5
293,Multi-lateral cohesive portal,242,5
294,Fully-configurable attitude-oriented attitude,184,5
295,Centralized 24hour extranet,197,5
296,Centralized 24hour extranet,68,5
297,Team-oriented discrete hierarchy,242,5
298,Fully-configurable attitude-oriented attitude,82,5
299,Synchronized full-range strategy,182,5
300,Enhanced upward-trending task-force,109,5
301,Centralized 24hour extranet,92,5
302,Object-based web-enabled customer loyalty,206,5
303,Centralized 24hour extranet,85,5
304,Diverse clear-thinking leverage,92,5
305,Total even-keeled Graphical User Interface,163,5
306,Diverse responsive architecture,66,5
307,Fully-configurable attitude-oriented attitude,97,5
308,Multi-lateral cohesive portal,175,5
309,Multi-lateral cohesive portal,55,5
310,Centralized 24hour extranet,224,5
311,Enhanced upward-trending task-force,79,5
312,Quality-focused mobile architecture,95,5
313,Object-based web-enabled customer loyalty,227,5
314,Profound next generation open architecture,169,5
315,Object-based web-enabled customer loyalty,228,5
316,Enhanced upward-trending task-force,54,5
317,Face-to-face real-time array,163,5
318,Face-to-face real-time array,123,5
319,Profound next generation open architecture,172,5
320,Face-to-face real-time array,160,5
321,Synchronized full-range strategy,129,5
322,Multi-lateral cohesive portal,91,5
323,Multi-lateral cohesive portal,59,5
324,Profound next generation open architecture,227,5
325,Enhanced upward-trending task-force,115,5
326,Profound next generation open architecture,247,5
327,Multi-lateral cohesive portal,111,5
328,Enhanced upward-trending task-force,244,5
329,Face-to-face real-time array,127,5
330,Inverse didactic moderator,56,5
331,Object-based web-enabled customer loyalty,182,5
332,Face-to-face real-time array,55,5
333,Enhanced upward-trending task-force,153,5
334,Total even-keeled Graphical User Interface,136,5
335,Total even-keeled Graphical User Interface,76,5
336,Distributed static knowledgebase,204,5
337,Diverse clear-thinking leverage,241,5
338,Quality-focused mobile architecture,152,5
339,Quality-focused mobile architecture,63,5
340,Quality-focused mobile architecture,230,5
341,Diverse clear-thinking leverage,234,5
342,Quality-focused mobile architecture,247,5
343,Quality-focused mobile architecture,183,5
344,Quality-focused mobile architecture,137,5
345,Quality-focused mobile architecture,98,5
346,Object-based interactive model,110,5
347,Quality-focused mobile architecture,55,5
348,Total even-keeled Graphical User Interface,61,5
349,Diverse clear-thinking leverage,140,5
350,Total even-keeled Graphical User Interface,136,5
351,Total even-keeled Graphical User Interface,79,5
352,Pre-emptive systematic circuit,242,5
353,Quality-focused mobile architecture,154,5
354,Compatible analyzing product,156,5
355,Quality-focused mobile architecture,191,5
356,Diverse clear-thinking leverage,110,5
357,Quality-focused mobile architecture,78,5
358,Mandatory value-added frame,217,5
359,Compatible analyzing product,225,5
360,Quality-focused mobile architecture,238,5
361,Compatible analyzing product,163,5
362,Object-based interactive model,190,5
363,Pre-emptive systematic circuit,208,5
364,Synchronized full-range strategy,110,5
365,Mandatory value-added frame,92,5
366,Mandatory value-added frame,172,5
367,Distributed static knowledgebase,171,5
368,Team-oriented discrete hierarchy,120,5
369,Total even-keeled Graphical User Interface,88,5
370,Mandatory value-added frame,103,5
371,Total even-keeled Graphical User Interface,127,5
372,Pre-emptive systematic circuit,200,5
373,Diverse clear-thinking leverage,134,5
374,Distributed static knowledgebase,202,5
375,Total even-keeled Graphical User Interface,71,5
376,Total even-keeled Graphical User Interface,234,5
377,Object-based interactive model,180,5
378,Synchronized full-range strategy,58,5
379,Synchronized full-range strategy,213,5
380,Total even-keeled Graphical User Interface,240,5
381,Profound context-sensitive conglomeration,238,5
382,Balanced hybrid process improvement,194,5
383,Innovative web-enabled Local Area Network,95,5
384,Devolved value-added help-desk,71,5
385,Devolved value-added help-desk,155,5
386,Re-engineered motivating info-mediaries,228,5
387,Devolved value-added help-desk,89,5
388,Devolved value-added help-desk,121,5
389,Quality-focused asymmetric help-desk,228,5
390,Devolved value-added help-desk,98,5
391,Multi-channeled bi-directional customer loyalty,89,5
392,Devolved value-added help-desk,220,5
393,Quality-focused asymmetric help-desk,81,5
394,Multi-channeled bi-directional customer loyalty,119,5
395,Quality-focused asymmetric help-desk,72,5
396,Inverse empowering neural-net,79,5
397,Re-engineered motivating info-mediaries,237,5
398,Programmable human-resource function,223,5
399,Multi-channeled bi-directional customer loyalty,84,5
400,Self-enabling national workforce,135,5
401,Quality-focused asymmetric help-desk,73,5
402,Re-contextualized hybrid matrices,186,5
403,Quality-focused asymmetric help-desk,66,5
404,Programmable human-resource function,53,5
405,Quality-focused asymmetric help-desk,77,5
406,User-centric 4thgeneration moratorium,64,5
407,Programmable human-resource function,155,5
408,Triple-buffered multimedia database,215,5
409,Triple-buffered multimedia database,70,5
410,Proactive value-added adapter,155,5
411,Proactive value-added adapter,181,5
412,User-centric grid-enabled moratorium,234,5
413,Triple-buffered multimedia database,123,5
414,Re-engineered motivating info-mediaries,56,5
415,Triple-buffered multimedia database,121,5
416,Re-contextualized hybrid matrices,61,5
417,Proactive value-added adapter,174,5
418,Triple-buffered multimedia database,227,5
419,Quality-focused asymmetric help-desk,142,5
420,Assimilated bandwidth-monitored flexibility,150,5
421,Triple-buffered multimedia database,213,5
422,Proactive value-added adapter,79,5
423,User-centric 4thgeneration moratorium,104,5
424,Triple-buffered multimedia database,169,5
425,Re-contextualized hybrid matrices,80,5
426,Re-contextualized hybrid matrices,187,5
427,Proactive value-added adapter,155,5
428,Self-enabling national workforce,221,5
429,Programmable human-resource function,217,5
430,Re-contextualized hybrid matrices,149,5
431,Triple-buffered multimedia database,237,5
432,Upgradable leadingedge paradigm,145,5
433,Upgradable leadingedge paradigm,94,5
434,Upgradable leadingedge paradigm,156,5
435,Upgradable leadingedge paradigm,167,5
436,Switchable actuating database,242,5
437,Quality-focused eco-centric Graphic Interface,222,5
438,Upgradable leadingedge paradigm,219,5
439,Upgradable leadingedge paradigm,236,5
440,Switchable actuating database,131,5
441,Switchable actuating database,143,5
442,Fully-configurable local hierarchy,170,5
443,Self-enabling national workforce,95,5
444,Upgradable leadingedge paradigm,245,5
445,Switchable actuating database,94,5
446,Profound radical leverage,90,5
447,Switchable actuating database,184,5
448,Switchable actuating database,67,5
449,Fundamental zero tolerance hub,235,5
450,Quality-focused eco-centric Graphic Interface,139,5
451,Fundamental zero tolerance hub,230,5
452,Fundamental zero tolerance hub,224,5
453,Quality-focused asymmetric help-desk,167,5
454,Multi-channeled bi-directional customer loyalty,205,5
455,Programmable human-resource function,120,5
456,Enhanced optimizing groupware,143,5
457,Quality-focused asymmetric help-desk,117,5
458,Multi-channeled bi-directional customer loyalty,76,5
459,Networked reciprocal project,123,5
460,Quality-focused asymmetric help-desk,63,5
461,Networked reciprocal project,99,5
462,Programmable human-resource function,60,5
463,Self-enabling national workforce,232,5
464,Enhanced optimizing groupware,219,5
465,Programmable human-resource function,185,5
466,Networked reciprocal project,158,5
467,Enhanced optimizing groupware,118,5
468,Programmable human-resource function,204,5
469,Quality-focused asymmetric help-desk,87,5
470,Programmable human-resource function,135,5
471,Programmable human-resource function,96,5
472,Quality-focused asymmetric help-desk,247,5
473,Switchable actuating database,249,5
474,Switchable actuating database,95,5
475,Multi-channeled bi-directional customer loyalty,112,5
476,Upgradable leadingedge paradigm,178,5
477,Programmable fresh-thinking middleware,190,5
478,User-centric grid-enabled moratorium,185,5
479,Profound context-sensitive conglomeration,212,5
480,Enhanced user-facing neural-net,205,5
481,Enterprise-wide tangible synergy,245,5
482,Centralized upward-trending open architecture,68,5
483,Centralized upward-trending open architecture,229,5
484,Enterprise-wide tangible synergy,193,5
485,Phased actuating Graphic Interface,182,5
486,Enterprise-wide tangible synergy,124,5
487,Innovative eco-centric customer loyalty,146,5
488,Enterprise-wide tangible synergy,218,5
489,Enterprise-wide tangible synergy,77,5
490,Multi-layered attitude-oriented archive,178,5
491,Innovative eco-centric customer loyalty,175,5
492,User-centric 4thgeneration moratorium,174,5
493,Enterprise-wide tangible synergy,225,5
494,Inverse bandwidth-monitored forecast,93,5
495,Multi-layered attitude-oriented archive,55,5
496,User-centric grid-enabled moratorium,135,5
497,Inverse empowering neural-net,87,5
498,Enhanced user-facing neural-net,152,5
499,Inverse bandwidth-monitored forecast,95,5
500,Multi-layered attitude-oriented archive,182,5
501,Enterprise-wide tangible synergy,101,5
502,Programmable fresh-thinking middleware,76,5
503,Programmable fresh-thinking middleware,127,5
504,Phased actuating Graphic Interface,160,5
505,Synergized interactive framework,58,5
506,Phased actuating Graphic Interface,131,5
507,Multi-layered attitude-oriented archive,154,5
508,Self-enabling 4thgeneration extranet,92,5
509,Enterprise-wide needs-based task-force,249,5
510,Enterprise-wide tangible synergy,148,5
511,Enterprise-wide needs-based task-force,109,5
512,Programmable fresh-thinking middleware,99,5
513,Enterprise-wide needs-based task-force,128,5
514,Enterprise-wide tangible synergy,237,5
515,Innovative eco-centric customer loyalty,175,5
516,Enterprise-wide needs-based task-force,132,5
517,Programmable fresh-thinking middleware,177,5
518,Phased actuating Graphic Interface,121,5
519,Enterprise-wide tangible synergy,165,5
520,Enterprise-wide needs-based task-force,71,5
521,Innovative eco-centric customer loyalty,117,5
522,Centralized upward-trending open architecture,156,5
523,Centralized upward-trending open architecture,178,5
524,Centralized upward-trending open architecture,169,5
525,User-centric grid-enabled moratorium,152,5
526,Versatile user-facing middleware,101,5
527,Assimilated bandwidth-monitored flexibility,114,5
528,Proactive value-added adapter,91,5
529,User-centric grid-enabled moratorium,201,5
530,Reverse-engineered mission-critical groupware,119,5
531,Reverse-engineered mission-critical groupware,249,5
532,Assimilated bandwidth-monitored flexibility,239,5
533,Enhanced user-facing neural-net,102,5
534,Re-engineered motivating info-mediaries,58,5
535,Inverse empowering neural-net,53,5
536,User-centric grid-enabled moratorium,95,5
537,Proactive value-added adapter,110,5
538,Reverse-engineered mission-critical groupware,248,5
539,Reverse-engineered mission-critical groupware,182,5
540,Reverse-engineered mission-critical groupware,216,5
541,Proactive value-added adapter,88,5
542,User-centric grid-enabled moratorium,173,5
543,Assimilated bandwidth-monitored flexibility,112,5
544,Programmable fresh-thinking middleware,96,5
545,User-centric grid-enabled moratorium,77,5
546,Triple-buffered multimedia database,237,5
547,Assimilated bandwidth-monitored flexibility,181,5
548,Triple-buffered multimedia database,115,5
549,Inverse empowering neural-net,56,5
550,Proactive value-added adapter,184,5
551,Versatile user-facing middleware,195,5
552,Team-oriented asymmetric extranet,143,5
553,User-centric grid-enabled moratorium,232,5
554,Enhanced user-facing neural-net,189,5
555,Team-oriented asymmetric extranet,201,5
556,Team-oriented asymmetric extranet,178,5
557,Proactive value-added adapter,168,5
558,Team-oriented asymmetric extranet,88,5
559,Team-oriented asymmetric extranet,120,5
560,Team-oriented asymmetric extranet,200,5
561,User-centric grid-enabled moratorium,168,5
562,Team-oriented asymmetric extranet,177,5
563,User-centric grid-enabled moratorium,77,5
564,Team-oriented asymmetric extranet,174,5
565,Programmable fresh-thinking middleware,140,5
566,Reverse-engineered mission-critical groupware,192,5
567,Enhanced user-facing neural-net,139,5
568,User-centric grid-enabled moratorium,153,5
569,User-centric grid-enabled moratorium,143,5
570,User-centric grid-enabled moratorium,141,5
571,Enhanced user-facing neural-net,247,5
572,Reverse-engineered mission-critical groupware,144,5
573,Networked reciprocal project,102,5
574,Fully-configurable local hierarchy,128,5
575,Fundamental zero tolerance hub,192,5
576,Open-source didactic circuit,111,5
577,Open-source didactic circuit,248,5
578,Re-contextualized content-based function,204,5
579,Face-to-face systemic customer loyalty,198,5
580,Front-line client-driven budgetary management,153,5
581,Front-line client-driven budgetary management,174,5
582,Optional asymmetric database,109,5
583,Self-enabling 3rdgeneration portal,58,5
584,Self-enabling 3rdgeneration portal,81,5
585,Total actuating middleware,113,5
586,Open-source didactic circuit,118,5
587,Open-source didactic circuit,159,5
588,Decentralized neutral firmware,177,5
589,Optional asymmetric database,200,5
590,Total actuating middleware,115,5
591,Self-enabling 3rdgeneration portal,211,5
592,Face-to-face systemic customer loyalty,243,5
593,Polarized impactful installation,246,5
594,Face-to-face systemic customer loyalty,206,5
595,Open-source didactic circuit,53,5
596,Total actuating middleware,146,5
597,Optional asymmetric database,186,5
598,Open-source didactic circuit,78,5
599,Open-source didactic circuit,174,5
600,Re-contextualized content-based function,196,5
601,Upgradable asynchronous product,200,5
602,Polarized impactful installation,56,5
603,Re-contextualized content-based function,242,5
604,Visionary regional methodology,237,5
605,Re-contextualized content-based function,101,5
606,Expanded motivating implementation,193,5
607,Upgradable asynchronous product,163,5
608,Focused systemic matrix,170,5
609,Front-line client-driven budgetary management,176,5
610,Upgradable asynchronous product,215,5
611,Front-line client-driven budgetary management,233,5
612,Polarized impactful installation,191,5
613,Re-contextualized content-based function,192,5
614,Front-line client-driven budgetary management,167,5
615,Open-source didactic circuit,82,5
616,Open-source didactic circuit,241,5
617,Re-contextualized content-based function,131,5
618,Front-line client-driven budgetary management,95,5
619,Front-line client-driven budgetary management,72,5
620,Focused systemic matrix,73,5
621,Optional asymmetric database,221,5
622,Optional asymmetric database,188,5
623,Switchable actuating database,127,5
624,Polarized impactful installation,148,5
625,Synergized transitional array,230,5
626,Synergized transitional array,198,5
627,Quality-focused empowering neural-net,65,5
628,Decentralized uniform focus group,225,5
629,Profound context-sensitive conglomeration,94,5
630,Distributed upward-trending challenge,129,5
631,Distributed upward-trending challenge,246,5
632,Distributed upward-trending challenge,247,5
633,Operative multi-state encoding,104,5
634,Distributed upward-trending challenge,84,5
635,Profound context-sensitive conglomeration,211,5
636,Robust demand-driven core,55,5
637,Profound context-sensitive conglomeration,112,5
638,Operative multi-state encoding,52,5
639,Profound context-sensitive conglomeration,62,5
640,Distributed upward-trending challenge,166,5
641,Innovative multimedia knowledgebase,156,5
642,Profound context-sensitive conglomeration,136,5
643,Profound context-sensitive conglomeration,233,5
644,Balanced hybrid process improvement,55,5
645,Robust demand-driven core,124,5
646,Synergized transitional array,169,5
647,Face-to-face systemic customer loyalty,206,5
648,Decentralized neutral firmware,141,5
649,Face-to-face systemic customer loyalty,182,5
650,Robust demand-driven core,171,5
651,Quality-focused empowering neural-net,94,5
652,Robust demand-driven core,229,5
653,Decentralized uniform focus group,242,5
654,Decentralized uniform focus group,141,5
655,Decentralized uniform focus group,68,5
656,Polarized impactful installation,63,5
657,Decentralized uniform focus group,148,5
658,Quality-focused empowering neural-net,239,5
659,Profound context-sensitive conglomeration,164,5
660,Right-sized multi-tasking hardware,75,5
661,Total actuating middleware,61,5
662,Decentralized uniform focus group,167,5
663,Face-to-face systemic customer loyalty,223,5
664,Decentralized uniform focus group,179,5
665,Robust demand-driven core,52,5
666,Decentralized uniform focus group,198,5
667,Quality-focused empowering neural-net,198,5
668,Decentralized uniform focus group,73,5
669,Focused systemic matrix,224,5
670,Front-line client-driven budgetary management,104,5
671,Upgradable asynchronous product,70,5
672,Vision-oriented content-based hub,162,5
673,Profound radical leverage,80,5
674,Profound radical leverage,104,5
675,Quality-focused eco-centric Graphic Interface,113,5
676,Multi-channeled exuding collaboration,82,5
677,Quality-focused eco-centric Graphic Interface,171,5
678,Switchable radical implementation,66,5
679,Multi-channeled exuding collaboration,120,5
680,Multi-channeled exuding collaboration,198,5
681,Self-enabling national workforce,87,5
682,Adaptive disintermediate matrices,182,5
683,Switchable radical implementation,120,5
684,Multi-channeled exuding collaboration,67,5
685,Networked national Local Area Network,175,5
686,Up-sized dynamic function,216,5
687,Up-sized dynamic function,244,5
688,Self-enabling national workforce,95,5
689,Up-sized dynamic function,104,5
690,Up-sized dynamic function,249,5
691,Triple-buffered regional support,189,5
692,Profound radical leverage,79,5
693,Self-enabling national workforce,187,5
694,Quality-focused eco-centric Graphic Interface,242,5
695,Focused systemic matrix,240,5
696,Fundamental zero tolerance hub,145,5
697,User-centric 4thgeneration moratorium,208,5
698,Self-enabling national workforce,210,5
699,Profound radical leverage,159,5
700,Fundamental zero tolerance hub,128,5
701,Switchable actuating database,208,5
702,Fundamental zero tolerance hub,121,5
703,Profound radical leverage,218,5
704,Fully-configurable local hierarchy,141,5
705,Profound radical leverage,113,5
706,Fundamental zero tolerance hub,100,5
707,Switchable radical implementation,136,5
708,Profound radical leverage,117,5
709,Fully-configurable local hierarchy,163,5
710,Switchable actuating database,114,5
711,Advanced fault-tolerant access,90,5
712,Networked reciprocal project,212,5
713,Advanced fault-tolerant access,146,5
714,Fully-configurable local hierarchy,78,5
715,Advanced fault-tolerant access,212,5
716,Fully-configurable local hierarchy,87,5
717,Switchable radical implementation,228,5
718,Triple-buffered regional support,156,5
719,Vision-oriented content-based hub,166,5
720,Expanded motivating implementation,215,5
721,Synergistic system-worthy intranet,188,5
722,Expanded motivating implementation,241,5
723,Multi-channeled content-based superstructure,95,5
724,Synergistic system-worthy intranet,190,5
725,Multi-channeled content-based superstructure,144,5
726,Self-enabling 3rdgeneration portal,189,5
727,Horizontal client-driven success,142,5
728,Self-enabling 3rdgeneration portal,151,5
729,Visionary regional methodology,86,5
